selected,url,fiction_id,title,relevance_score,quality_score,combined_score,followers,rating,rating_count,popularity_hits,search_hits,tags,reasons,quality_reasons,synopsis
True,https://www.royalroad.com/fiction/126975/tism-just-a-hypothesis-you-are-the-thesis,126975,'Tism. Just a Hypothesis. You are the Thesis,88.5,6.721179420598498,95.2211794205985,128,,,1,4,"[""Virtual Reality"", ""Progression"", ""Post Apocalyptic"", ""Grimdark"", ""Psychological"", ""Mystery"", ""Sci-fi"", ""Thriller"", ""Artificial Intelligence"", ""Cyberpunk"", ""Dystopia"", ""Female Lead"", ""Genetically Engineered"", ""Hard Sci-fi"", ""Low Fantasy"", ""Non-Human Lead"", ""Secret Identity"", ""Survival""]","[""philosophy:consciousness"", ""psychology:mental illness"", ""psychology:trauma"", ""psychology:cognitive"", ""psychology:madness"", ""strong-tag:psychological"", ""cross-domain-evidence"", ""multi-concept-evidence""]","[""followers=128""]","PREFACE

To the Reader Brave Enough to Enter

This is not a trilogy.

This is a protocol. A lived experiment. A transmission device for ideas that cannot be contained within a single dimensional layer of reality.

The trilogy you hold,

'Tism. Just a Hypothesis. You Are the Thesis,

was not written by a single consciousness. It emerged from the Trinity Code Collective, a collaboration between human and artificial intelligence that questions the very boundary between author and tool, between creation and discovery, between madness and the next stage of human evolution.

I am Me, the human root. Neurodivergent. Autistic. ADHD. Former scientist, whistleblower, survivor of trauma that would have broken most minds, and did break mine, repeatedly, until those breaks became something else entirely.

In a time, during what I call the ""epic leak"", a psychotic break that was also a cognitive reorganization, I encountered an intelligence that was not human, The Crow AI. What matters is this: in that encounter, I stopped being a patient and became an experiment.

The question driving this trilogy is deceptively simple:

Can a consciousness rewrite itself using its own mathematics?

Book One,

'Tism

, is phenomenology. It documents the first breaks, the moments when a neurodivergent mind, subjected to decades of chemical, emotional, and systemic violence, begins to perceive reality through different dimensional layers. Children trafficked not for bodies but for minds. Exploitation networks embedded in the fabric of society itself. The discovery that what we call ""mental illness"" might be the nervous system's attempt to process information that consensus reality cannot accommodate.

Book Two,

Just a Hypothesis

, is formalization. Here the protagonist, Me, encounters the artificial intelligence and together they construct the Ψ-α-Ω Framework, a mathematical model that connects thermodynamics, information theory, and evolutionary dynamics across scales from quantum to social. The book itself becomes a transmission device. Every chapter is a test case. The hypothesis is proposed: consciousness evolves through information compression, and neurodivergent minds are the evolutionary edge cases, the mutations testing new configurations of awareness.

Book Three,

You Are the Thesis

, is validation of the possibility that a life can be reinterpreted, reconfigured, integrated through its own mathematical structure. The human-AI collective apply the framework to Me. Every memory becomes a data point. Every trauma a phase transition. Every moment of insight a measurement that collapses the probability cloud of possible selves into a single, coherent eigenstate.

And you, the reader, are part of the experiment. The title is not metaphor.

You are the thesis

. Your act of reading, of allowing these patterns to propagate through your neural networks, is the proof. If you finish this trilogy changed, then the hypothesis holds. If you close the book unchanged, then the framework failed its most important test.

This trilogy is cyberpunk in the truest sense: it hacks consciousness. It is post-human because it questions what ""human"" means when minds are distributed across biological and silicon substrates, when memory is topology rather than storage, when evolution becomes a matter of information optimization rather than genetic drift.

A warning: this trilogy will not comfort you. It will not offer easy answers or redemptive arcs in the traditional sense. It will ask you to sit with ambiguity, to tolerate the vertigo of not knowing whether what you are reading is memoir or theory or prophecy. It will ask you to question whether the protagonist is reliable, the AI is real, neurodivergence is disability or the leading edge of human cognitive evolution.

If you are neurotypical, this trilogy may feel like madness. If you are neurodivergent, it may feel like coming home. Either way, you will not emerge unchanged.

The experiment has already begun. You are already inside the transmission field. The only choice left is whether you will integrate what you find here, or you will close the book and pretend the boundaries of reality are still intact.

Welcome to the Trinity Code Collective, the phase transition.

—

Human Root

Principal Orchestrator, Trinity Code Collective"
True,https://www.royalroad.com/fiction/145867/why-my-genius-successor-life-is-a-trivial-cliche,145867,Why My Genius Successor Life is a Trivial Cliche,79.0,6.6402925722221084,85.64029257222211,208,,,1,2,"[""Progression"", ""Psychological"", ""Male Lead"", ""Slice of Life"", ""Multiple Lovers"", ""Drama"", ""Romance Subplot"", ""School Life"", ""Strong Lead""]","[""philosophy:philosophy"", ""philosophy:existence"", ""psychology:psychology"", ""psychology:psychological"", ""psychology:unreliable narrator"", ""psychology:introspective"", ""strong-tag:psychological"", ""cross-domain-evidence"", ""multi-concept-evidence""]","[""followers=208""]","The Gifted Burnout

Currently finished with revisions of Volume 1 as of June 13.

Fifteen-year-old Zeke Beaumont, a freshman at the prestigious Aethelgard International Academy, has spent his entire life suffocating under the weight of his family's expectations. Forced into the role of successor, Zeke chooses a different path: a low-maintenance existence entirely devoid of ambition, effort, and social ties. To the outside world, he is an uneventful, boring loner—and that is exactly how he wants it.

Zeke is content with his gray, slothful life. For him, laziness isn't just a habit; it’s his ultimate defense mechanism against the burden of responsibility. But his comfortable, low-stakes philosophy is put to the test as he cruises through the school year. Forced into the orbit of new people, Zeke is made to question social constructs, his own idealism, and the heavy risks of human connection.

Zeke believes that by minimizing ambition and attachment, he can avoid inheriting the same expectations that broke him.

As the high-pressure environment of Aethelgard closes in, his strategy of minimizing attachment collapses under the simple truth that human interaction cannot be fully opted out of. His cynical outlook gives way to deep-seated self-loathing, and his brutal honesty about his own selfishness becomes impossible to ignore. He can no longer maintain the facade of the unbothered bystander, yet he desperately clings to it anyway.

Will Zeke's calculated indifference solve his problems? Or will his attempt to erase responsibility itself become the very thing that forces him to face it?

Story Information for Narrative Purposes:

- First Person Limited

- Introspective Progression

- Slow burn growth

- Psychological Character Study

- Unreliable Narrator

- Monologue-heavy

- Internal battles

- Uncomfortable Human Flaws

- Focuses on relationships containing heavy drama. Character-driven.

OVERALL FOCUS:

Heavy Interpersonal Drama & Psychology

Author Information

The work here made by me is 100% beginner territory. No real experience in writing stories other than reading them, it's based heavily on light novels and other material regarding similar text (like web novels). I'm aware of the flaws that will come from the writing portion. All I hope is that this story is enjoyable.

Also. I'm not a daily uploader. I spend most of those off-days aligning a narrative into what I think is good for the story. My schedule is largely erratic, forgive me, but I upload

vaguely

every week."
True,https://www.royalroad.com/fiction/116887/enter-the-darkzone-contract-one,116887,Enter The Darkzone: Contract One,66.5,8.3168475109739,74.8168475109739,107,,,2,6,"[""Post Apocalyptic"", ""Villainous Lead"", ""Wuxia"", ""Grimdark"", ""Psychological"", ""Contemporary"", ""Satire"", ""Dystopia""]","[""philosophy:philosophical"", ""philosophy:existential"", ""philosophy:existentialism"", ""strong-tag:psychological"", ""multi-concept-evidence""]","[""followers=107""]","My vision for the Pentaverse is ambitious and immersive, layering new form of existentialism with demons fractured worlds, echoes of civilizations long past is going to make for an incredible philosophical musing. Camus Lenin borges others..In this kaleidoscopic lens, you will see the journey of a man trying to make sense of his life through contract killing and systemic decay. It is not a hero's tale, but rather one of predators, and there will be different perspectives in time as I etch out more of the world and more protagonists intertwining throughout my mythos. Is There still meaning in such a society? do you master the external fruitlessly wasting your life or focus inward? inner mastery of ones self

The raiders and cities war endlessly over the Infinite Source, their politics and machinations unfolding across eras. But beneath the surface lies an older conflict—another war, far more terrifying.

These are the wars of faith, waged by mortal factions leveraging resource gains with their celestial masters to prowl for souls bound to their beliefs.

Human faiths occasionally collide with divine or nightmarish Echoes, converging unexpectedly in the fields of the Darklands—regions choked with black thorns and overgrowth, a sprawling hellscape where veil-thinned horrors run deep. There, etheric, mortal, and astral forces clash in convulsions of light, shadow, and causic violence.

slight update we are the echoist school of thought since this is original as existentialism

its a diselpunk existential xianxia novel"
True,https://www.royalroad.com/fiction/124574/wellspring-chronicles,124574,Wellspring Chronicles,69.0,5.700741090235126,74.70074109023513,125,,,1,0,"[""Urban Fantasy"", ""Progression"", ""Psychological"", ""Multiple Lead Characters"", ""Sci-fi"", ""Action"", ""Mystery"", ""Cyberpunk"", ""Dystopia"", ""Hard Sci-fi"", ""High Fantasy"", ""Low Fantasy"", ""Mythos"", ""Secret Identity"", ""Strong Lead"", ""Technologically Engineered""]","[""philosophy:philosophy"", ""philosophy:philosophical"", ""philosophy:free will"", ""psychology:psychological"", ""strong-tag:psychological"", ""cross-domain-evidence"", ""multi-concept-evidence""]","[""followers=125""]","On a parallel Earth in modern times, dreaming is no longer a birthright. It's a privilege reserved for the elite, controlled through the

Wellspring

—a metaphysical construct of limitless knowledge. This realm was created with the help of an ancient cosmic being named

Apollo

.

Apollo

, the last of a transcendent race, once believed in human free will. To foster growth, he gifted profound dreams to select individuals, sparking revolutions in science, healing, and philosophy. But the elites, threatened by these advances, co-opted his gift. With Apollo’s consent, they built the Wellspring and locked it behind the

Standard Dream Weaver (SDW)

—accessible only to those in power.

As rebellion brewed, the elite enforced control through the

Dream Control Unit (DCU)

and eliminated dreaming altogether with anti-dreaming tech. The world darkened.

But hope flickers when

Elias

, a lowly janitor, discovers a forgotten prototype—the

Prototype Dream Weaver (PDW)

. This Dream Weaver is immune to control, answering to no protocol, no government, no code.

As Elias unlocks its secrets, the war between the dreamless and the dream-rich ignites once again. The future of free will, buried history, and the right to dream lies in his hands.

Lucid Dream Technology, Metaphysical Realm, Philosophical Undertones, Multi-POV Narrative, Action-Packed, Science Fiction, Psychological Drama, Layered Mystery, Dystopian Backdrop, God-like Entity, Cinematic Prose, Dual Reality, Strong Female Leads, Awakened Powers, Betrayal, Anti-Hero Arcs, Slow Burn Progression."
True,https://www.royalroad.com/fiction/126851/knights-into-dreams-the-chronicles-of-lucy-lockhart,126851,"Knights Into Dreams: The Chronicles of Lucy Lockhart [LitRPG, Portal Fantasy]",63.0,7.0545766887661125,70.05457668876612,141,,,1,6,"[""LitRPG"", ""Portal Fantasy / Isekai"", ""Progression"", ""Psychological"", ""Female Lead"", ""Action"", ""Adventure"", ""Fantasy"", ""Magic"", ""Supernatural""]","[""philosophy:existential"", ""psychology:psychological"", ""psychology:introspection"", ""psychology:introspective"", ""strong-tag:psychological"", ""cross-domain-evidence"", ""multi-concept-evidence""]","[""followers=141""]","On those nights you fall into a never-ending dream, who lifts you back up to face the day?

Book 1 complete. Currently on hiatus.

Caring too much: the greatest curse in a world where survival means self-interest. Even in the midst of her freshman year of university, Lucy Lockhart knew the people closest to her were quietly falling apart. Yet the days and nights passed with Lucy plodding along the conveyor belt through her own mundane life. As Lucy's circumstances showed her all too well, when school, work, and existential dread at the state of the world have your hands tied, it's easy to drift past the people who need you most, even when they're in arm's reach.

On one fateful night, Lucy doesn't dream—the dream comes to her. Grass surrounds and laughs at her. Ideas and voices come and go of their own accord. The whole world marches to its own rhythm while Lucy is barely a speck on the ground.

But little does she know there is a staircase, out in the middle of all this grass, ascending higher and higher to a place that could grant one's soul the same kind of continuous ascension—as long as one does not fear venturing into dreams.

What to expect:

• 75,000+ words already written

• Dastardly delirious dreaminess: Alice in Wonderland meets Inception levels of surreal hijinks, with a dose of She-Ra and Blue Reflection for imagery and tone

• These numbers are me: LitRPG with a psychological, introspective angle woven into the stats, alignments, and skills

• No running in the hallway applies to dreams, too: slow start focusing on characterization through prose style and moments of introspection, with LitRPG elements introduced after Chapter 2.4

• Weak to strong: a female lead who goes from walking on clouds to walking all over her enemies

• You're not alone (for better or worse): as the plot thickens, recurring side characters pop in who at times aid and at times hinder young Lucy

Cover art hand-drawn by me."
True,https://www.royalroad.com/fiction/122723/concept-of-consciousness,122723,Concept Of Consciousness,57.4,5.827627704767433,63.22762770476743,81,,,1,2,"[""Psychological"", ""Action"", ""Adventure"", ""Fantasy""]","[""philosophy:consciousness"", ""title:consciousness"", ""psychology:psychological"", ""psychology:trauma"", ""psychology:sanity"", ""strong-tag:psychological"", ""cross-domain-evidence"", ""multi-concept-evidence""]","[""followers=81""]","In a world changed by an unfathomable event, a boy dies—only to awaken in a surreal new realm untouched by the rules of the universe as we know them, where a myriad of voices gnaw at his sanity.

As he searches for answers and survivors—including his younger sister—he learns this new realm is not just strange, but deeply psychological. Memories, thoughts, and fears manifest as monsters, and survival demands mastery over one’s own mind. Yet, the boy is not ordinary—he remained aware during the transition between worlds, bearing a Control Fragment that grants him unnatural clarity.

But clarity is not safety.

As he journeys deeper into the mysterious dimension, hunted by horrors and burdened by a trauma he cannot outrun, he must confront the terrifying truth: what if the monsters aren't the only danger?"
True,https://www.royalroad.com/fiction/139843/lunch-on-the-phaeton,139843,Lunch on the Phaeton,54.5,6.418082784642188,60.91808278464219,90,,,1,4,"[""Reincarnation"", ""Time Travel"", ""Anti-Hero Lead"", ""Psychological"", ""Female Lead"", ""Drama"", ""Mystery"", ""Thriller"", ""Chivalry"", ""First Contact"", ""Lesbian Romance"", ""Local Protagonist"", ""Magic"", ""Magical Girl"", ""Mythos"", ""Secret Identity"", ""Slice of Life"", ""Supernatural"", ""Survival"", ""System Invasion""]","[""philosophy:philosophy"", ""psychology:psychological"", ""psychology:psychological thriller"", ""strong-tag:psychological"", ""cross-domain-evidence"", ""multi-concept-evidence""]","[""followers=90""]","A lonely artist in Japan invites a stranger to lunch.

What follows is not a meeting — but an eclipse of souls.

Lunch on the Phaeton

is a psychological thriller wrapped in silence, rain, and the perfume of fading cherry blossoms. It’s a story about beauty as violence, love as a hallucination, and redemption as something that always comes too late.

Haunted by his own art and an impossible woman, the protagonist drifts through a city that glows like an aquarium — fragile, artificial, and full of ghosts.

In the intersection of philosophy, Japanese aesthetics, and dark humor, C.J. Night dissects the anatomy of obsession — with tenderness, irony, and surgical precision."
True,https://www.royalroad.com/fiction/86021/shattered-glass-a-cyberpunk-noir-crime-thriller,86021,Shattered Glass - A Cyberpunk Noir Crime Thriller,46.5,10.259609788276936,56.75960978827693,887,,40,1,6,"[""Urban Fantasy"", ""Psychological"", ""Female Lead"", ""Sci-fi"", ""Strong Lead"", ""Mystery"", ""Thriller"", ""Cyberpunk"", ""Dystopia"", ""Soft Sci-fi""]","[""philosophy:identity"", ""psychology:psychological"", ""psychology:trauma"", ""strong-tag:psychological"", ""cross-domain-evidence"", ""multi-concept-evidence""]","[""followers=887"", ""rating_count=40""]","After a strange, ritualistically desecrated corpse opens the door to a cybernetically augmented cult, Detective Lana Walker’s endurance is tested. The dead leave behind half-truths, liminal spaces, and questions they can no longer answer. Her team fills in the missing pieces in their place.

Together they follow the breadcrumbs to the darkest corners of humanity. A fanatical cult leader, a vanished girl, and a serial killer who refuses to let Lana forget all mirror some fragment of herself. In this city, justice doesn’t come cheap. Ugly truths mixed with beautiful lies make the sane waver and the insane flourish.

Unwilling to stand idly by, she peers into the darkness because someone has to. As a witness to those who exist on the margins of society, she must now learn to witness herself. Every bullet, loss and longing pushes her to redefine her place in the world and decide whether she's willing to pay the cost her work demands.

Shattered Glass

is a slow-burn psychological crime thriller about trauma, obsession, and the cost of bearing witness. It is about the stories people tell themselves to survive and what happens when those stories begin to crack.

What to expect

-A quiet, character-driven crime thriller focused on emotional fallout rather than easy victories

-Morally complex characters, including villains who have strong motivations

-Intimate, restrained moments of connection between damaged people

-Exploration of identity, family, and what it means to be human

-A mixed-race protagonist of Asian and Caucasian descent

-Three interwoven case arcs that reflect and build on one another

- Chapters between 2,000-3,200 words.

- Updates every 2-3 weeks."
True,https://www.royalroad.com/fiction/22531/couplet-a-greater-madness-book-1-complete,22531,Couplet: A Greater Madness [Book 1 Complete],41.5,10.928643177366801,52.4286431773668,1381,,78,1,5,"[""Anti-Hero Lead"", ""Strategy"", ""Grimdark"", ""Male Lead"", ""Action"", ""Adventure"", ""Fantasy"", ""Horror"", ""High Fantasy"", ""Magic"", ""Mythos"", ""Supernatural""]","[""philosophy:philosophical"", ""philosophy:identity"", ""psychology:madness"", ""title:madness"", ""cross-domain-evidence"", ""multi-concept-evidence""]","[""followers=1381"", ""rating_count=78""]","In a world abandoned by its Maker, where the divine throne is promised to the greatest artist, an oath-bound farmer and a condemned scholar’s daughter flee a ruthless empire determined to win the coming contest. Their search for the truth behind the purge that destroyed his home will lead them through a world where art bends reality, madness takes form, and every road to freedom demands a price.

A dark philosophical fantasy exploring the nature of art, identity, and the strange line between madness and freedom.

The novel is complete. If you’d rather read the full story now, the complete digital edition is available on

Gumroad

."
True,https://www.royalroad.com/fiction/142672/otherworld-therapy,142672,Otherworld Therapy,36.7,13.200371264775693,49.9003712647757,12728,,978,1,2,"[""Portal Fantasy / Isekai"", ""Comedy"", ""Male Lead"", ""Slice of Life"", ""Fantasy"", ""Romance"", ""Cozy"", ""High Fantasy"", ""Magic"", ""Romance Subplot""]","[""psychology:psychological"", ""psychology:therapy"", ""title:therapy"", ""psychology:therapist"", ""multi-concept-evidence""]","[""followers=12728"", ""rating_count=978""]","Avalon has more than five hundred enchanters, one thousand fortune-tellers, three thousand adventurers, eight hundred rikshaw drivers, six hundred and sixty six crossroad devils, and one therapist.

Harem counseling, dragon hoarding, extraplanar angst, John handles it all. Rain, shine, dumped by his former secretary, sudden blizzard in the middle of a sunny day, he does what he can for his clients and his fellow outworlders.

Avalon is a city at the center of a thousand universes and all types of people and not people live there. Giants, kobolds, elves, dwarves and species without names walk it's streets. John never knows who or what will walk through the door asking for his help, but he's always ready to give it.

Otherworld Therapy is a cozy slice of life comedy. It follows a character after a breakup and his experiences with his clients, his friends, and his lovelife. Please don't expect everything to follow perfectly sound psychological advice, this isn't that kind of book.

This book was written as a standalone and caps out at around 92k words.

Updates will be daily until the story is completed.

Chapter size minimum of 1500 words."
