selected,url,story_id,title,relevance_score,quality_score,combined_score,read_count,vote_count,comment_count,popularity_hits,search_hits,tags,reasons,quality_reasons,synopsis
True,https://www.wattpad.com/story/391415617,391415617,Dark Psychology 101: The Cognitive Exploitation,95.0,10.883165636672675,105.88316563667267,35891,301,27,0,1,"[""darkmind"", ""darkpsychology"", ""emotionalabuse"", ""gaslighting"", ""humanbehavior"", ""influence"", ""machiavellianism"", ""manipulation"", ""mentalmanipulation"", ""mindcontrol"", ""mindgames"", ""mustread"", ""nonfiction"", ""persuasion"", ""powerandcontrol"", ""psychoanalysis"", ""psychological"", ""psychologicaltactics"", ""psychologicalthriller"", ""psychologicalwarfare"", ""psychology"", ""psychology101"", ""psychtricks"", ""selfhelp"", ""socialengineering"", ""Non-Fiction""]","[""philosophy:ethical"", ""psychology:psychology"", ""title:psychology"", ""psychology:psychological"", ""psychology:cognitive"", ""title:cognitive"", ""strong-tag:psychological"", ""strong-tag:psychology"", ""cross-domain-evidence"", ""multi-signal""]","[""reads=35891"", ""votes=301"", ""comments=27""]","(~|[Abstract]|~)

Manipulation and persuasion are powerful tools that shape human interactions, often operating beneath the surface of awareness. Dark Psychology 101 explores the intricate world of dark psychology, revealing the psychological mechanisms behind influence, deception, and control. By dissecting manipulation techniques-from mirroring and gaslighting to guilt-tripping and triangulation-this book provides a comprehensive understanding of how manipulators operate. It examines the thin line between ethical persuasion and coercive manipulation, highlighting the vulnerabilities that make individuals susceptible to influence. While offering insights into these tactics, the book emphasizes the importance of awareness, self-defense, and ethical considerations in navigating the complex landscape of human interactions. Whether you seek to recognize manipulation or develop persuasive skills responsibly, Dark Psychology 101 serves as a guide to mastering the psychology of influence."
True,https://www.wattpad.com/story/246002648,246002648,Psychological facts about dreams,57.9,11.864226365681866,69.76422636568186,28092,771,87,0,1,"[""amazing"", ""amazingfacts"", ""behavior"", ""didyouknow"", ""facts"", ""funfacts"", ""interesting"", ""knowledge"", ""learn"", ""lifetime"", ""mind"", ""psychological"", ""psychology"", ""psychologyfacts"", ""sciencefacts"", ""scientific"", ""scientist"", ""wattpad"", ""Random""]","[""psychology:psychology"", ""psychology:psychological"", ""title:psychological"", ""strong-tag:psychological"", ""strong-tag:psychology"", ""multi-signal""]","[""reads=28092"", ""votes=771"", ""comments=87""]","Here are some interesting psychological facts about dreams. People often wonder about things such as: Why do we dream? What do dreams mean? How does dreaming work? What is dreaming? Well, these are just some of the questions this book, Psychology and neuroscience have discovered a lot about dreaming through sleep studies conducted in the REM sleep stage, and they were able to provide some truly fascinating answers to these questions. Book full of incredible, curious and mind blowing facts which you probably don't know. You will be able to increase your knowledge with the very best facts. Read the book to know further. FOLLOW ME FOR MORE UPDATES!!HOPE YOU GUYS ENJOY MY BOOK!!"
True,https://www.wattpad.com/story/192690761,192690761,Psychology For Dummies,51.6,15.193718572362162,66.79371857236217,133050,4503,2062,0,1,"[""anger"", ""animal"", ""boys"", ""brain"", ""crush"", ""deperession"", ""dream"", ""facts"", ""girls"", ""happiness"", ""healyourproblem"", ""interesting"", ""life"", ""loneliness"", ""love"", ""mind"", ""personality"", ""phobia"", ""psychologicalfacts"", ""psychology"", ""readtogether"", ""sadness"", ""stayhome"", ""teenagers"", ""treatment"", ""Non-Fiction""]","[""psychology:psychology"", ""title:psychology"", ""psychology:psychological"", ""strong-tag:psychology"", ""multi-signal""]","[""reads=133050"", ""votes=4503"", ""comments=2062""]","Psychology is formally study of mental processes, behaviour and experience in different contexts.

Do keep in mind while reading that the psychological facts are nothing but research. The facts are universally applicable few may be an exception to it.

This book includes facts about the human psyche moreover this book is very much productive for any age group. If you are a beginner in psychology this book (includes facts) may provide you ease in understanding the concepts of psychology.

To know more about psychology in-depth visit, like, share and follow me on WordPress

https://mindcare20.wordpress.com/"
True,https://www.wattpad.com/story/254314754,254314754,Psychological Facts,56.9,9.742522402137897,66.6425224021379,103777,2724,208,0,1,"[""behavior"", ""bodylanguage"", ""brain"", ""brainfacts"", ""crush"", ""crushfacts"", ""dreams"", ""english"", ""facts"", ""factsaboutlove"", ""family"", ""friendship"", ""funfacts"", ""human"", ""love"", ""lovefacts"", ""psychological"", ""psychology"", ""someone"", ""unknownfacts"", ""Random""]","[""psychology:psychological"", ""title:psychological"", ""psychology:human behavior"", ""strong-tag:psychological"", ""strong-tag:psychology"", ""multi-signal""]","[""reads=103777"", ""votes=2724"", ""comments=208"", ""presentation:very-short-synopsis""]","psychological facts about love, crush, dreams, human behavior and body language."
True,https://www.wattpad.com/story/392848764,392848764,My Husband Was a Mass Murderer: A Psychological Thriller,54.2,11.143448944648057,65.34344894464806,13363,356,72,0,2,"[""blackwoman"", ""creepystories"", ""horror"", ""horror-thriller"", ""horrorfiction"", ""horrorromance"", ""husband"", ""husbandandwife"", ""killer"", ""marriage"", ""massacre"", ""massmurder"", ""murder"", ""mystery"", ""mystery-thriller"", ""pregnancy"", ""psycho"", ""psycho-thriller"", ""psychological"", ""scared"", ""scary"", ""serialkiller"", ""slaughtered"", ""suspense"", ""thriller"", ""Mystery / Thriller""]","[""psychology:psychological"", ""title:psychological"", ""psychology:sanity"", ""psychology:insanity"", ""psychology:psychological thriller"", ""title:psychological thriller"", ""strong-tag:psychological"", ""multi-signal""]","[""reads=13363"", ""votes=356"", ""comments=72""]","Britney loves her husband. He's kind, sweet, and an upstanding citizen. He usually does everything with a moral compass, except for that one time when he killed a group of people. That was simply a stability slip. He pled insanity and served his time in a mental institution. He's better now, though. He's been rehabilitated... right?"
True,https://www.wattpad.com/story/89141665,89141665,Psychology Says,50.6,14.144225165558925,64.74422516555893,764378,35988,10642,0,1,"[""behavior"", ""best"", ""brain"", ""details"", ""dreams"", ""facts"", ""famous"", ""feelings"", ""food"", ""information"", ""knowledge"", ""life"", ""love"", ""personality"", ""physical"", ""psychological"", ""psychology"", ""psychologysays"", ""science"", ""trivia"", ""unlimitedpride"", ""Random""]","[""psychology:psychology"", ""title:psychology"", ""strong-tag:psychological"", ""strong-tag:psychology"", ""multi-signal""]","[""reads=764378"", ""votes=35988"", ""comments=10642"", ""presentation:very-short-synopsis""]","Need foods for your brain? Read my book and discover the psychology world.

Enjoy reading and don't forget to vote!"
True,https://www.wattpad.com/story/120255658-cognitive-deviance,120255658,Cognitive Deviance,44.9,18.481796548241345,63.38179654824134,358688,16902,9422,1,0,"[""action"", ""crime"", ""cyberpunk"", ""dark"", ""death"", ""detective"", ""disturbing"", ""dystopian"", ""femaleprotagonist"", ""futuristic"", ""mentalhealth"", ""murder"", ""newadult"", ""police"", ""psycho"", ""psychological"", ""sci-fi"", ""science-fiction"", ""sciencefiction"", ""scifi"", ""strongfemalelead"", ""suspense"", ""terrorism"", ""texttospeech"", ""thriller"", ""Science Fiction""]","[""psychology:mental illness"", ""psychology:mental health"", ""psychology:cognitive"", ""title:cognitive"", ""strong-tag:psychological"", ""multi-signal""]","[""reads=358688"", ""votes=16902"", ""comments=9422"", ""popularity-surfaces=1""]","In 2045, Psychwatch treats the mentally ill or cages them. Margo wants to bring empathy to every patient but a killer pushes her, and the system, to the limits

*****

In a dark future, more than a third of the United States population suffers from mental illness and violent crime is on the rise. In response, Psychwatch is formed - an organization intended to combine mental healthcare and law enforcement - creating monitored areas and neglected ones known as the Psycho Slums. Margo Sandoval is the latest recruit to Psychwatch, bringing a new level of empathy to the controversial agency known for its unforgiving methods. Margo spends her days as an Empath treating everyone possible, until the arrival of a new serial killer upends her life and forces her to confront the evils of the human mind and the system that claims to be the solution."
True,https://www.wattpad.com/story/210056770,210056770,Human Psychology,47.1,15.708044342594793,62.8080443425948,270988,8426,1121,0,1,"[""biologicalfacts"", ""bodylanguage"", ""crush"", ""emotions"", ""facts"", ""family"", ""friends"", ""funny"", ""humanbehavior"", ""humanemotions"", ""interesting"", ""life"", ""love"", ""mystery"", ""nonfiction"", ""personalities"", ""personality"", ""psychologicalfacts"", ""psychology"", ""psychologylifehacks"", ""quotes"", ""random"", ""romance"", ""texttospeech"", ""thoughts"", ""weird"", ""Random""]","[""psychology:psychology"", ""title:psychology"", ""psychology:human behavior"", ""strong-tag:psychology"", ""multi-signal""]","[""reads=270988"", ""votes=8426"", ""comments=1121""]","Human Psychology is the science of mind and human behavior. It opens interesting characteristics and traits that human being encompasses reading about it will not only give a meaningful perspective to how you see the world , but it will allow you to reach out and understand people around you."
True,https://www.wattpad.com/story/177895996,177895996,Traumatized,46.0,15.083198803011612,61.08319880301161,125742,3411,2595,0,1,"[""angst"", ""aqualad"", ""artemis"", ""connerkent"", ""dickgrayson"", ""flash"", ""kid"", ""megan"", ""missmartian"", ""robin"", ""superboy"", ""texttospeech"", ""wallywest"", ""yj"", ""youngjustice"", ""Fanfiction""]","[""philosophy:stoic"", ""psychology:trauma"", ""title:trauma"", ""psychology:subconscious"", ""cross-domain-evidence"", ""multi-signal""]","[""reads=125742"", ""votes=3411"", ""comments=2595""]","Failsafe, a seemingly harmless training exercise. That is, till Miss Martin's subconscious accidentally took control of it. Turning it into a traumatic experience, one that not even the Boy Wonder can cope with.

Since they woke up, rifts have formed. Most noticeable, was between Robin and everyone. He wasn't close with Megan anymore, cuz she blamed him for Connor and Wally's deaths. Wally cuz he lied to him and supposedly betrayed his trust and misused his role as leader. Kaldur just was disappointed, Connor was just more Stoic, Artemis was her usual self, but Robin distanced himself from her.

What will happen when Robin's birthday comes around? What happens when his first and most hated enemy escapes prison? What happened when he gets ignored by his team on a mission and ends up getting gravely injured? What happens when Robin must fight for his life?"
True,https://www.wattpad.com/story/276427858,276427858,The Psychology of Love,47.1,11.782501101493079,58.88250110149308,13143,849,156,0,1,"[""asien"", ""berlin"", ""bl"", ""boylove"", ""deyi"", ""drama"", ""dream"", ""emotion"", ""fanfiction"", ""gaoshide"", ""hot"", ""japan"", ""lovvestory"", ""psychology"", ""sam"", ""samlin"", ""samyu"", ""taiwan"", ""texttospeech"", ""therapy"", ""wattys2021"", ""wbl"", ""webestlove"", ""yangyuteng"", ""zhoushuyi"", ""zihonglin"", ""Fanfiction""]","[""psychology:psychology"", ""title:psychology"", ""psychology:psychological"", ""strong-tag:psychology"", ""multi-signal""]","[""reads=13143"", ""votes=849"", ""comments=156""]","Where does love take us? A story that lets us share the psychological and physical dimensions of SamYu's love.

Sam (psychoanalyst) is researching his doctoral thesis with YU (psychology student)."
